Currency,Price,Boat Type,Manufacturer,Type,Year Built,Material,Location,Number of views last 7 days,Country
EUR ,15490,Deck Boat,Jeanneau power boats,new boat from stock,2017,PVC,"Slovak Republic » Bratislava, Slovaquie",71,Slovak Republic
EUR ,15446,Center console boat,Jeanneau power boats,new boat on order,2020,GRP,Germany » Bönningstedt / Werft,56,Germany
EUR ,15400,Center console boat,Ranieri power boats,new boat from stock,2019,GRP,Italy » Lombardia - Trentino Alto Adige » Moniga ,116,Italy
CHF ,17684,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,Aluminium,Switzerland » Bouveret,341,Switzerland
CHF ,17500,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,GRP,Switzerland » Bielersee,201,Switzerland
EUR ,16220,Center console boat,Jeanneau power boats,new boat from stock,2020,GRP,Germany » Bönningstedt / Werft,99,Germany
EUR ,16190,Sport Boat,AMT power boats,new boat from stock,2019,GRP,Germany » auf Anfrage,60,Germany
CHF ,17500,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,GRP,Switzerland » Luganersee » Agno ,387,Switzerland
CHF ,17400,Pilothouse,Smartliner power boats,new boat on order,2020,GRP,Switzerland » Lake Geneva » Romanel,399,Switzerland
CHF ,17400,Center console boat,Morningstar power boats,new boat from stock,2019,Aluminium,Switzerland » Vierwaldstättersee » Gersau,149,Switzerland
EUR ,16000,Sport Boat,Bombardier power boats,"Used boat,Unleaded",1998,GRP,Croatia (Hrvatska),141,Croatia (Hrvatska)
EUR ,16900,Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,PVC,"Montenegro » Tivat, Montenegro",53,Montenegro
EUR ,16900,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,GRP,"Germany » Bayern » Boote Pfister GmbH, Schwebheim / Schweinfurt",154,Germany
EUR ,16900,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,GRP,Italy » Lombardia - Trentino Alto Adige » Moniga ,107,Italy
EUR ,16900,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,GRP,Germany » Baden-Württemberg » 68794 Oberhausen-Rheinhausen,405,Germany
EUR ,16900,Motor Yacht,Jeanneau power boats,Used boat,2005,PVC,"France » SAINT CYPRIEN, France",62,France
EUR ,16900,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,PVC,"France » SAINT CYPRIEN, France",98,France
EUR ,16900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,PVC,"Spain » Torrevieja, Espagne",152,Spain
EUR ,16900,Trawler,GioMare power boats,Used boat,1995,GRP,Rovinij,172,Rovinij
CHF ,18260,Bowrider,Bella power boats,Display Model,2019,GRP,Switzerland » Vierwaldstättersee » Horw,339,Switzerland
EUR ,16870,Sport Boat,Yamarin power boats,new boat from stock,2020,GRP,Germany » Nordrhein-Westfalen » auf Anfrage,127,Germany
CHF ,18210,Center console boat,Saver power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Thunersee » Gwatt (Thun),247,Switzerland
CHF ,18200,Fishing Boat,Lund Boats power boats,new boat from stock,2020,Aluminium,Switzerland » Lake Geneva » Romanel,241,Switzerland
CHF ,18200,Motor Yacht,Mariah power boats,"Used boat,Unleaded",1997,Thermoplastic,Switzerland » Murtensee » Praz/Mont-Vully ,331,Switzerland
EUR ,17500,Deck Boat,Quicksilver power boats,"Used boat,Unleaded",2005,PVC,"France » CAP D'AGDE, CAP D'AGDE",144,France
EUR ,17500,Pilothouse,Ocqueteau power boats,"Used boat,Gas",2010,GRP,Portugal » Lisbon » oeiras,192,Portugal
EUR ,17500,Trawler,Pedro power boats,Used boat,1984,Steel,Netherlands » In verkoophaven,149,Netherlands
EUR ,17490,Cabin Boat,Hanto power boats,"Used boat,Diesel",1984,GRP,Germany » Schwerin,164,Germany
EUR ,17490,Cabin Boat,Winga power boats,"Used boat,Diesel",1977,GRP,Germany » Verkaufshafen Brandenburg-Plaue,162,Germany
CHF ,18900,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2019,Aluminium,Switzerland » Bouveret,215,Switzerland
CHF ,18900,Sport Boat,Campion power boats,"Used boat,Unleaded",2001,Plastic,Switzerland » Lago Maggiore » Minusio bei Locarno ,335,Switzerland
CHF ,18900,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,Plastic,Switzerland » Lake Constance » Ermatingen,686,Switzerland
CHF ,19500,Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,GRP,Switzerland » Lake of Zurich » Altendorf SZ ,1028,Switzerland
EUR ,18000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,GRP,Portugal » Vilamoura,375,Portugal
EUR ,18000,Pilothouse,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2003,GRP,Italy » Lake Garda » liguria,333,Italy
EUR ,18000,Cabin Boat,Saura power boats,"Used boat,Diesel",1993,GRP,Spain » Mallorca » Cala d´Or,129,Spain
EUR ,18000,Sport Boat,Yamarin power boats,"Used boat,Unleaded",2004,PVC,"Spain » Dénia, Alicante",211,Spain
EUR ,18000,Flybridge,Bayliner power boats,"Used boat,Unleaded",1993,GRP,Italy » Toscana » Toscana,334,Italy
EUR ,18000,Bowrider,Ebbtide power boats,"Used boat,Unleaded",2009,PVC,"Spain » Cabo de Palos, Espagne",119,Spain
EUR ,18800,Sport Boat,Drago Boats power boats,"Used boat,Unleaded",2015,PVC,"France » Chalon-sur-Saône, France",110,France
EUR ,18750,Center console boat,Clear power boats,new boat from stock,2020,GRP,Germany » Lake Constance » Gaienhofen-Horn,149,Germany
EUR ,18700,Sport Boat,Nor-Dan power boats,"Used boat,Unleaded",1990,GRP,Germany » Baden-Württemberg » Speyer,254,Germany
EUR ,18690,Center console boat,Invictus power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Lake Geneva » Le Bouveret ,324,Switzerland
CHF ,20000,Cabin Boat,Donzi power boats,"Used boat,Unleaded",1991,GRP,Switzerland » Lago Maggiore » Tenero ,220,Switzerland
CHF ,19990,Sport Boat,Sea-Doo power boats,"Used boat,Unleaded",2008,GRP,Switzerland » Lake of Zurich » 5512 Wohlenschwil AG,540,Switzerland
CHF ,19990,Cabin Boat,Chris Craft power boats,"Used boat,Unleaded",1991,GRP,Switzerland » Lake Geneva » Le Bouveret,339,Switzerland
CHF ,20100,Fishing Boat,Smartliner power boats,new boat from stock,2020,GRP,Switzerland » Lake Geneva » Romanel,185,Switzerland
CHF ,19900,Runabout,Safter Marine power boats,new boat from stock,2020,GRP,Switzerland » Zugersee » Neuheim ,401,Switzerland
CHF ,19900,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,Plastic,Switzerland » Murtensee » Avenches,2026,Switzerland
EUR ,18515,Sport Boat,Yamarin power boats,new boat from stock,2020,Aluminium,Germany » Nordrhein-Westfalen » auf Anfrage,145,Germany
EUR ,19500,Trawler,Beachcraft power boats,Used boat,1981,Steel,Netherlands » In verkoophaven,118,Netherlands
EUR ,19500,Cabin Boat,Waterland power boats,Used boat,1975,GRP,Netherlands » In verkoophaven,101,Netherlands
EUR ,19500,Cabin Boat,KOK power boats,Used boat,2005,Steel,Netherlands » In verkoophaven,78,Netherlands
EUR ,19500,Motor Yacht,Mazury power boats,"Used boat,Unleaded",2010,GRP,Germany,273,Germany
EUR ,19500,Cabin Boat,Sea Ray power boats,Used boat,1996,GRP,Steinwiesen,778,Steinwiesen
EUR ,19490,Cabin Boat,Bayliner power boats,Unleaded,2003,GRP,Germany » Mölln,261,Germany
CHF ,21000,Pontoon Boat,Calcagno power boats,"Used boat,Diesel",2014,GRP,Switzerland » Luganersee » Bioggio-Lugano,163,Switzerland
CHF ,20950,Motor Yacht,Pacific Craft power boats,"new boat from stock,Unleaded",2018,GRP,Switzerland » Lake Geneva » Prangins,183,Switzerland
EUR ,19300,Center console boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Baden-Württemberg » MÜhlhausen - Ehingen,117,Germany
CHF ,20800,Pontoon Boat,MÃ¤ndli power boats,new boat from stock,2020,Wood,Switzerland » Beringen,235,Switzerland
EUR ,19900,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,GRP,Italy » Friuli Venezia Giulia » Marina Lepanto - Monfalcone GO ,217,Italy
EUR ,19900,Sport Boat,Galia power boats,"new boat from stock,Unleaded",2018,GRP,Germany » Boote Pfister / Schwebheim,121,Germany
EUR ,19900,Motor Yacht,Cytra power boats,"Used boat,Unleaded",1976,GRP,Germany » Lake Constance » Bodensee,314,Germany
EUR ,19900,Motor Yacht,Crownline power boats,Used boat,1997,GRP,Netherlands » Lemmer,122,Netherlands
EUR ,19900,Bowrider,Chris Craft power boats,"Used boat,Unleaded",1995,PVC,"France » Chalon-sur-Saône, France",165,France
EUR ,19900,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,GRP,Germany » Lake Constance » Lindau/Bodensee,375,Germany
EUR ,19900,Sport Boat,Buster power boats,"Used boat,Unleaded",1994,Aluminium,Germany » Bayern » Schwebheim / Schweinfurt,80,Germany
EUR ,19900,Sport Boat,Kelt power boats,"Used boat,Unleaded",2002,PVC,France,89,France
EUR ,19900,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2006,PVC,France,97,France
